種別,セグメントID,テキスト,日本語BERT_判定,多言語XLM-R_判定
コメント,1,生稲晃子やガーシーや小池百合子に投票してしまう人を減らす方法はありますか（無いと思う場合は、無いと思う理由を言って下さい）。また博之氏は何歳ころに「有権者が成熟した判断を常に出来るとは限らない」と気づきましたか？,Neutral,Negative
コメント,1,:face-fuchsia-wide-eyes::face-fuchsia-wide-eyes::face-fuchsia-wide-eyes::face-fuchsia-wide-eyes::face-fuchsia-wide-eyes:ひろゆきは頑張り屋さん。,Neutral,Positive
コメント,1,ひろゆきさん♡こんばんはー:full_moon_face:おだいじになさってくださいね(´･ω･`),Neutral,Positive
コメント,1,溢れなかったね〜乾杯:clinking_beer_mugs:うぇっす,Negative,Positive
コメント,1,あれ?待機画面で待ってたぞ,Negative,Neutral
コメント,1,いつもと声が違う,Neutral,Negative
コメント,1,Bonne soirée:double_exclamation_mark:,Neutral,Positive
コメント,1,ひろゆき！,Neutral,Positive
コメント,1,鼻声ーお大事に,Neutral,Negative
コメント,1,ウェ〜す!,Neutral,Positive
コメント,1,そのせいで何かあっても納得できるなら仕方なしなのかな,Negative,Positive
コメント,1,たまごたまご,Neutral,Positive
コメント,1,ひろゆきさん、こんばんは。　27歳、男です。　私には1歳の子どもがいます。　正直、愛せるか不安でしたが、可愛くて仕方がありません。　時折夜泣きをあやすのに辛い時もありますが、ふとした時に「産まれてきてくれてありがとう」と思います。　女性は出産に伴って脳が変化するといいますが、男性もそうなのでしょうか？,Negative,Positive
コメント,1,１ヶ月で辞めれば？,Negative,Neutral
コメント,1,こんばんはー,Neutral,Positive
コメント,1,添い遂げようね。成し遂げようではなくて。,Neutral,Positive
コメント,1,激しく同意,Neutral,Positive
コメント,1,髪整っとるな！！！,Positive,Negative
コメント,1,うん、先生に同じ音言われたw 本当にいいのかと:virtualhug:,Positive,Neutral
コメント,1,一社の結果出てから次って訳じゃないし…断ることにならない？,Negative,Neutral
コメント,1,鼻声乙,Neutral,Negative
コメント,1,ひろゆきアルベッチョ,Neutral,Positive
コメント,1,ひろｻﾝ　こんばんゎ〜　٩(๑❛ᴗ❛๑)۶:cherry_blossom:,Neutral,Positive
コメント,1,やっぱやーめたー,Positive,Negative
コメント,1,こんちちは:smiling_face_with_hearts:,Neutral,Positive
コメント,1,こんばんは:curly_loop:,Neutral,Positive
コメント,1,大事なコメントだね,Neutral,Positive
コメント,2,次の就活にやや響く,Negative,Neutral
コメント,2,法に違反しないなら何ら問題なし,Negative,Neutral
コメント,2,なるほど。参考にならないw,Positive,Negative
コメント,2,ぴょん♪ぴょん♪ぴょん♪:virtualhug:,Neutral,Positive
コメント,2,こんばんは:sunset:,Neutral,Positive
コメント,2,そう思う,Neutral,Negative
コメント,2,迷惑ゆき,Negative,Neutral
コメント,2,辞退したら他の人が入れるからいいことしてる,Negative,Positive
コメント,2,ちわっ(^^),Neutral,Positive
コメント,2,上司と合わず、4月から異動します。異動希望が通ったのは良かったのですが、その上司も異動になりました。仕事自体は割と楽な方で次の異動先は割と忙しいことから、上司が異動するなら正直異動希望出さなくても良かったのかなと思っています。一方で、次の上司が合う人とは限らないところもあるので、異動を希望した自分の判断が正しかったのか分からなくなってしまいました。どんな気持ちでいるべきかアドバイスをお願いします。,Neutral,Positive
コメント,2,迷惑かけられるの好きだけどなー,Positive,Negative
コメント,2,きちんと、内定辞退のお話を人事としてくれれば良いと思います,Neutral,Negative
コメント,2,お大事にm(_ _)m,Neutral,Negative
コメント,2,日本独特,Positive,Neutral
コメント,2,やっぱり,Neutral,Negative
コメント,2,日本人に限らないのでは？,Neutral,Negative
コメント,2,女性側に問題あるかも　主夫になりたい男性を選べばよいかと・・・・,Neutral,Negative
コメント,2,フランスは事実婚が多いよ,Negative,Neutral
コメント,2,イスラムよりましだろ,Neutral,Negative
コメント,2,初めてライブきた,Neutral,Positive
コメント,2,どこと比べてんだよ。,Negative,Neutral
コメント,2,おっさんだけど家事バリバリやで,Positive,Neutral
コメント,2,男七歳台所に入るんじゃねー！,Negative,Neutral
コメント,2,スパチャの嵐,Neutral,Negative
コメント,2,川ゎ見えません　:moon_viewing_ceremony::leopard:w,Neutral,Negative
コメント,2,右下にボヤボヤしてるのなんや,Neutral,Negative
コメント,2,平等ではないね,Neutral,Negative
コメント,2,奥さんパ−トに出てるとこ圧倒的かかあ天下,Neutral,Positive
コメント,2,こんばんは(^-^*)/:heart_suit:,Neutral,Positive
コメント,2,:sparkling_heart::sparkling_heart::sparkling_heart:hiroyuki:sparkling_heart::sparkling_heart::sparkling_heart:,Neutral,Negative
コメント,2,海も見えません　:moon_viewing_ceremony::leopard:w,Neutral,Negative
コメント,2,ひろゆきさんこんばんは。些細な疑問なのですが、ひろゆきさんがyoutubeライブされる際「この時間にライブしたらこれくらいの年齢層がくる」等の統計は取られてたりするのでしょうか？くだらない質問ですみません。,Neutral,Negative
コメント,2,日本ほど女性の地位のたかい国はないぞ、あほな,Negative,Positive
コメント,2,ひろゆき、後頭部ぺったん:virtualhug:,Negative,Positive
コメント,2,ならみなけりゃいいじゃん,Neutral,Positive
コメント,2,右下やばいのおる,Neutral,Negative
コメント,2,たしかに,Neutral,Negative
コメント,2,そー思う^ ^,Neutral,Positive
コメント,2,今日音でかいな,Positive,Negative
コメント,3,なるほど,Neutral,Positive
コメント,3,看護師多いな,Neutral,Negative
コメント,3,ASDの息子25歳国立大学中退今は通信大学4年生です自分でプログラミングを勉強してる様ですが社会に出るのは難しいですどの様に見守り1人で自立出来る様にしたらよいでしょうか,Neutral,Negative
コメント,3,お疲れかな,Neutral,Negative
コメント,3,ありません( - ̀ω -́ )✧,Neutral,Positive
コメント,3,そのまんまひガーシー,Negative,Neutral
コメント,3,こんばんは:sparkles:,Neutral,Positive
コメント,3,にゃんにゃん,Neutral,Positive
コメント,3,ガーシーに投票するひともいる,Neutral,Positive
コメント,3,やわらかアタマ,Positive,Negative
コメント,3,よろしくなぃ　:pouting_cat:w,Neutral,Positive
コメント,3,今イケボでもそのうち裏返るよ？:virtualhug:,Neutral,Negative
コメント,3,右下 気になるね,Neutral,Positive
コメント,3,:red_heart::red_heart::red_heart:hiroyuki:red_heart::red_heart::red_heart:,Neutral,Negative
コメント,3,風邪引いたらイケボになるひろゆき,Negative,Positive
コメント,3,よろちと言うもんがよろち！　:pouting_cat:w,Neutral,Positive
コメント,3,生稲晃子はどうなのかな？,Neutral,Negative
コメント,3,そうですねえー,Neutral,Negative
コメント,3,禁煙パイポ,Neutral,Negative
コメント,3,小池百合子さん気強い！,Negative,Positive
コメント,3,カメラの手前にある右下のやつで大喜利しよー,Neutral,Positive
コメント,3,高市さんは未来の総理だね,Neutral,Positive
コメント,3,トランプがいい例,Neutral,Positive
コメント,3,タックル議員,Negative,Neutral
コメント,3,生稲晃子,Negative,Neutral
コメント,3,ただタレント議員はロクな奴はいない事実,Negative,Neutral
コメント,3,政界はタレントの再生工場かよ,Negative,Neutral
コメント,3,ぽんた。さんの質問、全然くだらなくありませんよ！私も気になります,Neutral,Positive
コメント,3,カピパッ♪カピパッ♪カピパッ♪:virtualhug:w,Neutral,Positive
コメント,4,扇　千景氏のご冥福を祈ります,Neutral,Positive
コメント,4,ガーシーのどこが良かったんだろか？,Negative,Neutral
コメント,4,偏差値高い高校出てるしね生稲さん:virtualhug:,Negative,Positive
コメント,4,目が疲れるので右下のピンボケしてる何かを避けていただけると助かります(´･ω･`),Neutral,Negative
コメント,4,おニャン子,Neutral,Positive
コメント,4,スシロー君が今後、迷惑系YouTuberになったら伸びると思いますか？彼は今後どうすればよい？,Negative,Neutral
コメント,4,ダプリン♪ダプリン♪ダプリン♪:virtualhug:w,Neutral,Positive
コメント,4,いぬやしき,Neutral,Positive
コメント,4,もう4500人も居る〜,Negative,Neutral
コメント,4,あごひげおじさん！,Neutral,Positive
コメント,4,洗濯物を干してるに一票,Neutral,Positive
コメント,4,ガーシーならガレソやコレコレの方がマシ,Negative,Neutral
コメント,4,はやく　はやくー,Neutral,Positive
コメント,4,一回、別居したらいいよ,Negative,Neutral
コメント,4,お願いします。近所の神社の修繕費用を３万円寄付せよと手紙が。支払わなければならないのでしょうか？ ,Negative,Neutral
コメント,4,右下：片付けられないひろゆきが置きっぱなしにした脱いだ靴下,Negative,Neutral
コメント,5,　生きてる価値ないよ、死んだ後に生きた価値が決まるから,Negative,Neutral
コメント,5,そんな簡単なら　ぜってーみんなやってる　離婚,Negative,Neutral
コメント,5,ちくわぶ氏 離婚しようよ なんかキャッチー:virtualhug:,Neutral,Positive
コメント,5,マーベルゆき〜:sparkling_heart::sparkling_heart::musical_notes:,Neutral,Positive
コメント,5,ひろゆき:smiling_face_with_smiling_eyes:こんばんは:sparkles:,Neutral,Positive
コメント,5,俺はドラゴンボールレジェンズ,Neutral,Positive
コメント,5,クラロワ～,Neutral,Positive
コメント,5,クラロワ、バージョンアップしたよね。,Neutral,Positive
コメント,5,やっぱりクラロワですかー,Neutral,Negative
コメント,5,:thanksdoc::thanksdoc::thanksdoc::videocall:ばんゎ〜♪w,Neutral,Positive
コメント,5,(´・∀・｀)ﾍｰ,Neutral,Positive
コメント,5,母親脳,Negative,Neutral
コメント,5,ほうほう,Neutral,Positive
コメント,5,いいんじゃないですかー,Neutral,Positive
コメント,5,なるほど,Neutral,Positive
コメント,5,うゎ〜　:face-blue-heart-eyes:w,Neutral,Positive
コメント,5,日本にも育休できたんですね,Neutral,Positive
コメント,5,男性も休んでね,Negative,Neutral
コメント,5,義務化されていいケースやな,Neutral,Positive
コメント,5,子供を産んだ瞬間に記憶力が上がるって吉田戦車さんの「まんが親」という育児漫画に書いてあった。,Neutral,Positive
コメント,5,オキシトシンー,Neutral,Positive
コメント,5,ひろゆきさんのポジティブsシンキング好きです！離婚届書いちゃって！さっさと別れればいいんじゃないですか？^_^,Negative,Positive
コメント,5,うんうん　:zebra:,Neutral,Positive
コメント,6,ちゃんとしてる,Positive,Neutral
コメント,6,だよね,Neutral,Negative
コメント,6,照明は白灯より黄色灯がいいよ:virtualhug:,Neutral,Positive
コメント,6,西から～:musical_notes:送った公文書～朝日に渡る～:musical_notes:（え！毎日じゃないの？）これで～いいのだ～:musical_notes:これで～いいのだ～:musical_notes:立憲～コニタン:cat:コニタンタン:musical_notes:転載～一家だ:musical_notes:コ～ニ～タン:cat:タンｗ最終稿なので添削をお願いしま～すw「太鼓の達人」で遊べるように構成してありますｗ,Neutral,Positive
コメント,6,おお,Neutral,Positive
コメント,6,年収高いな,Negative,Positive
コメント,6,同僚は育休が原因で昇格が伸びました,Negative,Positive
コメント,6,ぴろゆき,Neutral,Positive
コメント,6,日本は後進国,Negative,Positive
コメント,6,るるる〜,Neutral,Positive
コメント,6,エリートやな,Neutral,Negative
コメント,6,ヨーロッパでもフランスはすぴっ,Neutral,Positive
コメント,6,雇われでその金額貰うのってごく一部だぞ,Neutral,Negative
コメント,6,:red_heart::red_heart::red_heart:ひろゆき様だいすき:red_heart::red_heart::red_heart:,Neutral,Positive
コメント,6,音質ひでーな,Neutral,Negative
コメント,6,無理な事は、諦めよ。,Negative,Neutral
コメント,6,ひろゆきって名前社長多いよね,Neutral,Positive
コメント,6,初見ですm(_ _)m,Neutral,Negative
コメント,6,Googleも人減らしてなかったっけ？,Neutral,Negative
コメント,6,GOOGLEとかすぐレイオフしそう,Neutral,Negative
コメント,6,1999年12月末ににオーストラリアへ飛行機で移動していましたが意味も分からずシンガポール空港で足止めされた記憶があります。2000年問題の時ひろゆきさんは専門分野として大変だった思い出はありますか？,Negative,Neutral
コメント,6,Googleのお掃除くらいしかできんw:virtualhug:,Negative,Neutral
コメント,6,自分で事業やった方が楽に年収いくやろ,Positive,Neutral
コメント,6,IT系はリストラ凄いよね,Neutral,Positive
コメント,6,言われた,Negative,Neutral
コメント,6,アメリカに行ったほうが、早く達成できるかと。,Neutral,Positive
コメント,6,40才からは会社辞めたらポンコツアルバイターでございます:rolling_on_the_floor_laughing:,Negative,Neutral
コメント,6,労働者は皆そうやん,Neutral,Negative
コメント,6,男らしい手しとるね:red_heart:,Neutral,Positive
コメント,6,グーグルの清掃員の年収けっこう高そう,Neutral,Positive
コメント,6,キャッコﾁｬﾝ♪　キャッコﾁｬﾝ♪　:virtualhug:w,Neutral,Positive
コメント,6,おわりでーすｗ,Neutral,Positive
コメント,6,きゃっきゃきゃっきゃ:virtualhug:,Neutral,Positive
コメント,6,それな。,Neutral,Negative
コメント,6,確度が高い、を覚えた,Neutral,Positive
コメント,6,なるほど,Neutral,Positive
コメント,6,,Neutral,Negative
コメント,6,:red_heart::red_heart::red_heart:hiroyuki:red_heart::red_heart::red_heart:,Neutral,Negative
コメント,6,りはっくま！,Neutral,Positive
コメント,7,目標を年収にするならなぁ…。,Neutral,Positive
コメント,7,キャッコﾁｬﾝ♪　キャッコﾁｬﾝ♪　:virtualhug:w,Neutral,Positive
コメント,7,難しい,Negative,Neutral
コメント,7,清掃なんてビル管だから関係ないよ,Negative,Neutral
コメント,7,異動希望なんて出せる会社あるのか,Neutral,Positive
コメント,7,初対面の警察に「なぜタメ口なんですか」と質問したら、「目上だから」と言われました。目上とはどういった点からかと聞くと、自分の方が年齢が上とのことでした。警察にこういう態度の人が多いのはなぜでしょうか？犯罪をしたわけでも職務質問を受けたわけでもなく、忘れ物の受け取りの際の話です。,Negative,Neutral
コメント,7,気にしなくていいよｗ,Positive,Neutral
コメント,7,僕の学年の8人くらいが、練習試合で遠い所に行く時、保護者の車を使って送ってもらったら、顧問にキレられて残り２つの公式戦に出さないとはっきり言われました。,Negative,Neutral
コメント,7,えっとま〜:red_heart::red_heart::red_heart:,Neutral,Negative
コメント,7,気持ちはどーでもよくてお金大事にして下さい。,Neutral,Positive
コメント,7,黄色のパーカーがベージュになってきた？,Neutral,Negative
コメント,7,わこつです,Neutral,Positive
コメント,7,希望出しても会社の都合で動かされる,Negative,Neutral
コメント,7,にゃー　:ribbon::kissing_cat:,Neutral,Negative
コメント,7,かぜーにーふかれてー あるきーつづけてー,Neutral,Positive
コメント,7,一人親方1000万楽楽かもよ、能力次第:ribbon:,Neutral,Positive
コメント,7,飛ばされる～:balloon:,Negative,Neutral
コメント,7,いい角度がむずい　,Positive,Negative
コメント,7,早口言葉「にゃんこ、子にゃんこ、孫にゃんこ」めっちゃ早く噛まずに３回言える？,Negative,Neutral
コメント,8,:buffering:,Neutral,Negative
コメント,8,固まった,Negative,Neutral
コメント,8,固まった,Negative,Neutral
コメント,8,カクカク,Negative,Neutral
コメント,8,ようクルクルする,Neutral,Positive
コメント,8,:cyclone::cyclone:,Neutral,Negative
コメント,8,止まりました,Negative,Neutral
コメント,8,止まったね,Negative,Neutral
コメント,8,ぴょん♪ぴょん♪ぴょん♪:virtualhug:,Neutral,Positive
コメント,8,こんにちは〜,Neutral,Positive
コメント,8,:buffering::buffering:,Neutral,Negative
コメント,8,日本の麻には所謂麻薬成分の完備なノールはほとんど入ってないからね,Neutral,Negative
コメント,8,キャッコﾁｬﾝ♪　キャッコﾁｬﾝ♪　:virtualhug:,Neutral,Positive
