text,label,pred_label,tier
右下ディルドみたいやない？,Neutral,Neutral,層2
ちっとも男女平等では、ないし、男女平等で働けるはずもない。,Negative,Negative,層2
八方塞がり,Neutral,Negative,層2
見たくなくなるよね,Neutral,Negative,層2
どうでもいい感じw,Positive,Negative,層2
難しい話ですね:sweat_droplets:,Neutral,Negative,層2
へー、,Neutral,Negative,層2
言いたいこと言って、あとで謝れば済むと…そんな人格なんだとおもた。,Negative,Negative,層2
ADHDの人,Negative,Negative,層2
周囲は田んぼだらけ,Neutral,Negative,層2
かみ切った,Neutral,Negative,層2
ひろゆき最近楽しそうじゃないよね。営業スマイルの気がするー,Negative,Positive,層3
米を食いまくって糖尿病になろう＼(^-^)／,Neutral,Positive,層3
なるほど,Positive,Positive,層3
なるほど,Positive,Positive,層3
分かりやすっ,Positive,Positive,層3
あざーす,Positive,Positive,層3
運だよな,Neutral,Positive,層3
右下 気になるね,Neutral,Positive,層3
返事早,Neutral,Positive,層3
へずま懐かしいw,Positive,Positive,層3
テレパシーが主流だった時代,Neutral,Neutral,層3
ひげおやじ:exclamation_question_mark:,Neutral,Neutral,層3
普段やってなくて卒業式だけやってきたんじゃなかったっけ？,Neutral,Neutral,層3
利権を取りに行く感じかな,Neutral,Neutral,層3
民意,Neutral,Neutral,層3
つかこうへい？,Neutral,Neutral,層3
あっ,Neutral,Neutral,層3
木村拓哉ってばー,Neutral,Neutral,層3
そうかな,Neutral,Neutral,層3
あるある！,Positive,Neutral,層3
うーん…,Negative,Negative,層3
へぇ,Neutral,Negative,層3
どんまい,Neutral,Negative,層3
うーん、:cat:kisskiss×××,Negative,Negative,層3
糖尿病なるんですか？,Neutral,Negative,層3
しぬやん,Negative,Negative,層3
それならもう大使同士で殴り合いして決めたらいいのに,Neutral,Negative,層3
ひろゆきが最初の動画でペンギンにつつかれてたのもそんな感じか（,Neutral,Negative,層3
雇われでその金額貰うのってごく一部だぞ,Neutral,Negative,層3
エリートやな,Positive,Negative,層3
女子アナが良い例だよねー,Neutral,Positive,層4
ひろゆきさんのポジティブsシンキング好きです！離婚届書いちゃって！さっさと別れればいいんじゃないですか？^_^,Positive,Positive,層4
事務所の力,Negative,Positive,層4
さすが村長:double_exclamation_mark::penguin:,Positive,Positive,層4
毎月がんばれ,Positive,Positive,層4
阿部君は売れとるやん,Neutral,Positive,層4
こんばんは(^-^*)/:heart_suit:,Positive,Positive,層4
王子♡,Positive,Positive,層4
くぴぽー！,Positive,Positive,層4
こうへい,Neutral,Positive,層4
丸川珠代さんとかね。,Neutral,Neutral,層4
親のアカウント使ってるんじゃなくて？:virtualhug:,Neutral,Neutral,層4
ショックアブソーバー,Neutral,Neutral,層4
ぱかだよ？,Negative,Neutral,層4
ホリエモンが秘書になるの？,Neutral,Neutral,層4
:bird:ことり,Neutral,Neutral,層4
学校は社会に出るための訓練の場所だろ？そう思えばどうと言うことは無い,Neutral,Neutral,層4
ホリエモン,Neutral,Neutral,層4
タイトル回収です,Neutral,Neutral,層4
京都混んでそ〜,Neutral,Negative,層4
ホリエモンの手下が議員になったぞ,Neutral,Negative,層4
先生の偏差値低いんかな,Negative,Negative,層4
あの方は、社会知らんだろ？,Negative,Negative,層4
コーンロウは清潔じゃねーよw,Negative,Negative,層4
こわ,Negative,Negative,層4
こわ,Negative,Negative,層4
何故ネイティブ？？,Neutral,Negative,層4
生保はなかなか,Negative,Negative,層4
子供少ないのか、意外,Neutral,Negative,層4
いつも、片足上げてる。カッコいいです:smiling_face_with_smiling_eyes:,Positive,Positive,層5
メイちゃんみたいな髪型だね！,Positive,Positive,層5
いつもよりイケボ！！,Positive,Positive,層5
相棒めっちゃいいよ,Positive,Positive,層5
いいね。その考え方,Positive,Positive,層5
鰻屋に未来はある！美味しかったら！,Positive,Positive,層5
やぁやぁ、今日も可愛いねぇ:smiling_face_with_heart_eyes::two_hearts:,Positive,Positive,層5
阿部寛さんは頭もいいよ。,Positive,Positive,層5
今夜は温かいお風呂にはいるんだよ♡,Positive,Positive,層5
au200xさん、わざわざスパチャでありがとうございます…:double_exclamation_mark:︎丁度使ってないスマホが一台あるのでそれでやります。,Positive,Positive,層5
ハリウッドも？,Neutral,Neutral,層5
FMRIは,Neutral,Neutral,層5
脳神経の機能不全は、今、計測できます,Neutral,Neutral,層5
一応エサで:penguin:誘導避難させてたよね,Neutral,Neutral,層5
キムタクは？,Neutral,Neutral,層5
キムタクは？,Neutral,Neutral,層5
タイ米を輸入した時がありましたね,Neutral,Neutral,層5
東大は？,Neutral,Neutral,層5
タオル巻いてる人は～？,Neutral,Neutral,層5
モールス信号,Neutral,Neutral,層5
戦争はマジでやめてほしい、死ぬ自信しかない,Negative,Negative,層5
学部から恨まれるぞ,Neutral,Negative,層5
日本は自民党政権だと進まないだろうなぁ,Neutral,Negative,層5
嫌すぎる,Negative,Negative,層5
いい歳したオジサンがみっともないと思う。,Negative,Negative,層5
うつのひとにいったらあかんやつ,Negative,Negative,層5
堀江もん、年取ったね～、ジジむさくなった残念!,Negative,Negative,層5
マジで立花さんとは関わりたくない,Negative,Negative,層5
統失は脳に傷は付いてるそうだよ,Neutral,Negative,層5
もう古いよ！その考え,Negative,Negative,層5
