text,human_label,bert_pred,xlmr_pred,tier,source
両方話せばええやん,Neutral,Positive,Neutral,層2,BERT
卒業まで待つしかない,Neutral,Neutral,Negative,層2,BERT
堀江さんに 機会があれば謝っといてほしいと言ってましたね,Neutral,Neutral,Neutral,層2,BERT
４回休職して閑職へ異動になりました。前向きに生きる方法を教えてください,Neutral,Neutral,Neutral,層2,BERT
激しく同意,Positive,Neutral,Positive,層2,BERT
牛乳てそんなに飲みません,Neutral,Neutral,Negative,層2,BERT
ASDの息子25歳国立大学中退今は通信大学4年生です自分でプログラミングを勉強してる様ですが社会に出るのは難しいですどの様に見守り1人で自立出来る様にしたらよいでしょうか,Neutral,Neutral,Negative,層2,BERT
目標を年収にするならなぁ…。,Neutral,Neutral,Positive,層2,BERT
:face-fuchsia-wide-eyes::face-fuchsia-wide-eyes::face-fuchsia-wide-eyes::face-fuchsia-wide-eyes::face-fuchsia-wide-eyes:ひろゆきは頑張り屋さん。,Positive,Neutral,Positive,層2,BERT
わぁ〜始まったばかり？？,Neutral,Neutral,Neutral,層2,BERT
視聴者の大半黄色パーカー着てるの想像したらうけるｗ,Positive,Neutral,Positive,層2,BERT
小池百合子さん気強い！,Neutral,Negative,Positive,層2,BERT
裏で土下座したらしいしな,Neutral,Negative,Neutral,層2,BERT
絶対ワザと聞いてるだろｗ,Positive,Negative,Negative,層2,BERT
気づかなかった,Neutral,Negative,Negative,層2,BERT
聴いていてもなんとも思わない曲を好きになる方法ってありますかね？自分は聴いていて何とも思わない曲を好きになろうとて何度もその曲を聴いていたんですけど好きになれません。なので自分はもともと聴いてもなんとも思わない曲は好きになれないんだという先入観によっても曲を好きになれない気がしてます。,Neutral,Negative,Negative,層2,BERT
飛ばされる～:balloon:,Neutral,Negative,Neutral,層2,BERT
グェフ。,Neutral,Negative,Positive,層2,BERT
へええ,Neutral,Negative,Negative,層2,BERT
判官贔屓にはなるわな:virtualhug:,Neutral,Negative,Negative,層2,BERT
統失は脳に傷は付いてるそうだよ,Neutral,Negative,Negative,層2,BERT
なるほど。参考にならないw,Positive,Positive,Negative,層3,BERT
良い回答,Positive,Positive,Positive,層3,BERT
風邪ひいてんのに ひろゆきも頑張る時あるのね,Positive,Positive,Positive,層3,BERT
今日音でかいな,Neutral,Positive,Negative,層3,BERT
LINEのひろゆきスタンプ、相手を煽るときに重宝してる,Neutral,Positive,Positive,層3,BERT
何か勘違いしてらっしゃるの文言好きw,Positive,Positive,Positive,層3,BERT
相棒だぞw,Positive,Positive,Neutral,層3,BERT
よし、やるぞ,Positive,Positive,Positive,層3,BERT
コルァァ！！！！！！,Positive,Positive,Positive,層3,BERT
やっぱやーめたー,Neutral,Positive,Negative,層3,BERT
今平均年齢って何十代？,Neutral,Neutral,Neutral,層3,BERT
うちと同じだ,Neutral,Neutral,Negative,層3,BERT
ビアンカ派です,Neutral,Neutral,Neutral,層3,BERT
そうなの,Neutral,Neutral,Neutral,層3,BERT
にゃんにゃん,Neutral,Neutral,Positive,層3,BERT
マンボウ,Neutral,Neutral,Neutral,層3,BERT
どんな気持ちでいるか,Neutral,Neutral,Neutral,層3,BERT
カドカワの為に,Neutral,Neutral,Neutral,層3,BERT
キムタク,Neutral,Neutral,Neutral,層3,BERT
女もだよ,Neutral,Neutral,Neutral,層3,BERT
ポツポツ、ノイズ〜消せないのかなぁ？,Neutral,Negative,Negative,層3,BERT
心の病気,Negative,Negative,Negative,層3,BERT
風邪引いたらイケボになるひろゆき,Positive,Negative,Positive,層3,BERT
原油高,Neutral,Negative,Neutral,層3,BERT
いうほど電気代上がってない,Neutral,Negative,Negative,層3,BERT
立花さんはNHKだけやってほしい,Neutral,Negative,Neutral,層3,BERT
ホリエモン,Neutral,Negative,Neutral,層3,BERT
立花さんは 訴えを取り下げてほしかったみたいですね,Neutral,Negative,Neutral,層3,BERT
"私は　頑張って　と言われるのが苦手(私の働きぶりを知らない人から言われるのが苦手で、例えば上司に具体的に""もうちょっとこういうところを頑張ってほしい""と言われるのはむしろ有難い)のですが、これって心が狭いのですかね？ひろゆきさんは、何を言われても特に気にしない(別に死ぬわけじゃないし)マインドですか",Neutral,Negative,Negative,層3,BERT
偏差値高い高校出てるしね生稲さん:virtualhug:,Neutral,Negative,Positive,層3,BERT
ハンサムにうまれてよかったね。ひろゆきさん。,Positive,Positive,Positive,層4,BERT
DJ社長！ 頑張れ～！,Positive,Positive,Positive,層4,BERT
わちゃわちゃ♪　キャッキャッ♪　:virtualhug:w,Positive,Positive,Positive,層4,BERT
ホリエモンの舞台も面白いよね笑笑,Positive,Positive,Positive,層4,BERT
あの対談見て立花さんのファンになりましたよ！,Positive,Positive,Positive,層4,BERT
２歳なんか全員かっこいいわよ,Positive,Positive,Positive,層4,BERT
可愛いゲップでした！,Positive,Positive,Positive,層4,BERT
鼻声ひろゆきもステキよ♡,Positive,Positive,Positive,層4,BERT
そうそう自分の幸せ大切！,Positive,Positive,Positive,層4,BERT
めっちゃ稼げるじゃん,Positive,Positive,Positive,層4,BERT
つかこうへい？,Neutral,Neutral,Neutral,層4,BERT
内角の和？w,Neutral,Neutral,Neutral,層4,BERT
ひろゆきペンギンに似てる:eyes-purple-crying:,Neutral,Neutral,Negative,層4,BERT
もう少しでエイプリルフールの日が来ますがどんなことが起きると予想されますか？,Neutral,Neutral,Neutral,層4,BERT
通信キャリアの人って、なにか手を動かせるますかね？,Neutral,Neutral,Neutral,層4,BERT
真っ当になるかな〜,Neutral,Neutral,Neutral,層4,BERT
羽賀健二,Neutral,Neutral,Neutral,層4,BERT
うゎ〜　:face-blue-heart-eyes:w,Neutral,Neutral,Positive,層4,BERT
扇千景,Neutral,Neutral,Neutral,層4,BERT
きちんと、内定辞退のお話を人事としてくれれば良いと思います,Neutral,Neutral,Negative,層4,BERT
精神科病院へ行くのも手。鬱かも,Neutral,Negative,Negative,層4,BERT
年収2000万を目指す、きびしー,Neutral,Negative,Negative,層4,BERT
水道事業民営化の方が怖いな,Negative,Negative,Negative,層4,BERT
ハーフで両親の母国語出来ないと後で習うの大変だよ,Neutral,Negative,Negative,層4,BERT
ひろゆきの賠償金の件で弁護士が動いてるとか言ってたのに何もできなかったやん,Negative,Negative,Negative,層4,BERT
うつ病や統合失調症は病気なんでしょうか? 癌のように癌細胞が見つからず、頭がはちきれそうです,Negative,Negative,Negative,層4,BERT
ウチの高校の卒業式なんて荒れまくってたわ,Negative,Negative,Negative,層4,BERT
400万円借金をしまして任意整理しました 自己破産すれば良かったかなと思いました どうおもいますか,Negative,Negative,Positive,層4,BERT
信用してないのになぜ結婚できたんだあああ,Negative,Negative,Negative,層4,BERT
上司と合わず、4月から異動します。異動希望が通ったのは良かったのですが、その上司も異動になりました。仕事自体は割と楽な方で次の異動先は割と忙しいことから、上司が異動するなら正直異動希望出さなくても良かったのかなと思っています。一方で、次の上司が合う人とは限らないところもあるので、異動を希望した自分の判断が正しかったのか分からなくなってしまいました。どんな気持ちでいるべきかアドバイスをお願いします。,Neutral,Neutral,Positive,層1,XLM-R
松嶋菜々子の旦那さんよな,Neutral,Neutral,Positive,層1,XLM-R
つかこうへいさん,Neutral,Neutral,Positive,層1,XLM-R
よろちと言うもんがよろち！　:pouting_cat:w,Positive,Neutral,Positive,層1,XLM-R
日本ほど女性の地位のたかい国はないぞ、あほな,Negative,Negative,Positive,層1,XLM-R
こんにちは今来ました,Neutral,Neutral,Positive,層1,XLM-R
ようクルクルする,Neutral,Neutral,Positive,層1,XLM-R
フフフ,Positive,Neutral,Positive,層1,XLM-R
マイクがぷつぷつ:studio_microphone:,Neutral,Neutral,Positive,層1,XLM-R
あたま低く見えるけど,Negative,Neutral,Neutral,層1,XLM-R
w,Positive,Neutral,Neutral,層1,XLM-R
ｗ,Positive,Neutral,Neutral,層1,XLM-R
w,Positive,Neutral,Neutral,層1,XLM-R
ちゃんとしてる,Positive,Positive,Neutral,層1,XLM-R
ホルモン異常がでなければ,Neutral,Neutral,Neutral,層1,XLM-R
ボクサーになるしかない。,Neutral,Negative,Neutral,層1,XLM-R
立花,Neutral,Neutral,Neutral,層1,XLM-R
年寄り多そうｗｗ,Positive,Negative,Neutral,層1,XLM-R
確度ね！,Neutral,Neutral,Neutral,層1,XLM-R
いないいない,Neutral,Negative,Negative,層1,XLM-R
トップ投票だったもんね。,Neutral,Neutral,Negative,層1,XLM-R
勝ち負け言っている奴は大抵そうか。,Negative,Neutral,Negative,層1,XLM-R
YouTubeに集中しちゃってるけど,Neutral,Neutral,Negative,層1,XLM-R
小西ひろゆきは成熟しない議員,Negative,Negative,Negative,層1,XLM-R
やっぱり,Neutral,Neutral,Negative,層1,XLM-R
絶対もっと言ってた,Negative,Negative,Negative,層1,XLM-R
なんともいえん,Neutral,Negative,Negative,層1,XLM-R
コックさんの間違いかな,Negative,Neutral,Negative,層1,XLM-R
偏差値高い高校の方が自由だよね,Neutral,Neutral,Positive,層2,XLM-R
いぬやしき,Neutral,Neutral,Positive,層2,XLM-R
かんぱ〜い,Positive,Neutral,Positive,層2,XLM-R
聞き上手は話し上手,Neutral,Positive,Positive,層2,XLM-R
わこつです,Positive,Neutral,Positive,層2,XLM-R
(´・∀・｀)ﾍｰ,Positive,Neutral,Positive,層2,XLM-R
うぃ〜ッス,Positive,Neutral,Positive,層2,XLM-R
顔は創れる,Neutral,Neutral,Positive,層2,XLM-R
野菜大事ですね,Neutral,Neutral,Positive,層2,XLM-R
家事はマシーンにやってもらお,Neutral,Neutral,Neutral,層2,XLM-R
顔は変わるよ,Neutral,Neutral,Neutral,層2,XLM-R
坊主でおk,Neutral,Neutral,Neutral,層2,XLM-R
そうだね,Positive,Neutral,Neutral,層2,XLM-R
ゲップだったん？,Neutral,Neutral,Neutral,層2,XLM-R
海外からも、あるんだな!,Positive,Neutral,Neutral,層2,XLM-R
年取ったら終わりだよね,Negative,Negative,Neutral,層2,XLM-R
立花さん,Neutral,Neutral,Neutral,層2,XLM-R
自分は出来ると思い込んでいる奴,Negative,Negative,Neutral,層2,XLM-R
右下ディルドみたいやない？,Neutral,Neutral,Neutral,層2,XLM-R
ちっとも男女平等では、ないし、男女平等で働けるはずもない。,Negative,Negative,Negative,層2,XLM-R
八方塞がり,Neutral,Negative,Negative,層2,XLM-R
見たくなくなるよね,Neutral,Negative,Negative,層2,XLM-R
どうでもいい感じw,Positive,Positive,Negative,層2,XLM-R
難しい話ですね:sweat_droplets:,Neutral,Neutral,Negative,層2,XLM-R
へー、,Neutral,Neutral,Negative,層2,XLM-R
言いたいこと言って、あとで謝れば済むと…そんな人格なんだとおもた。,Negative,Negative,Negative,層2,XLM-R
ADHDの人,Negative,Neutral,Negative,層2,XLM-R
周囲は田んぼだらけ,Neutral,Neutral,Negative,層2,XLM-R
かみ切った,Neutral,Negative,Negative,層2,XLM-R
ひろゆき最近楽しそうじゃないよね。営業スマイルの気がするー,Negative,Positive,Positive,層3,XLM-R
米を食いまくって糖尿病になろう＼(^-^)／,Neutral,Negative,Positive,層3,XLM-R
なるほど,Positive,Neutral,Positive,層3,XLM-R
なるほど,Positive,Neutral,Positive,層3,XLM-R
分かりやすっ,Positive,Positive,Positive,層3,XLM-R
あざーす,Positive,Neutral,Positive,層3,XLM-R
運だよな,Neutral,Neutral,Positive,層3,XLM-R
右下 気になるね,Neutral,Neutral,Positive,層3,XLM-R
返事早,Neutral,Neutral,Positive,層3,XLM-R
へずま懐かしいw,Positive,Positive,Positive,層3,XLM-R
テレパシーが主流だった時代,Neutral,Neutral,Neutral,層3,XLM-R
ひげおやじ:exclamation_question_mark:,Neutral,Neutral,Neutral,層3,XLM-R
普段やってなくて卒業式だけやってきたんじゃなかったっけ？,Neutral,Neutral,Neutral,層3,XLM-R
利権を取りに行く感じかな,Neutral,Neutral,Neutral,層3,XLM-R
民意,Neutral,Neutral,Neutral,層3,XLM-R
あっ,Neutral,Neutral,Neutral,層3,XLM-R
木村拓哉ってばー,Neutral,Neutral,Neutral,層3,XLM-R
そうかな,Neutral,Neutral,Neutral,層3,XLM-R
あるある！,Positive,Neutral,Neutral,層3,XLM-R
うーん…,Negative,Negative,Negative,層3,XLM-R
へぇ,Neutral,Neutral,Negative,層3,XLM-R
どんまい,Neutral,Negative,Negative,層3,XLM-R
うーん、:cat:kisskiss×××,Negative,Negative,Negative,層3,XLM-R
糖尿病なるんですか？,Neutral,Neutral,Negative,層3,XLM-R
しぬやん,Negative,Negative,Negative,層3,XLM-R
それならもう大使同士で殴り合いして決めたらいいのに,Neutral,Negative,Negative,層3,XLM-R
ひろゆきが最初の動画でペンギンにつつかれてたのもそんな感じか（,Neutral,Neutral,Negative,層3,XLM-R
雇われでその金額貰うのってごく一部だぞ,Neutral,Neutral,Negative,層3,XLM-R
エリートやな,Positive,Neutral,Negative,層3,XLM-R
女子アナが良い例だよねー,Neutral,Positive,Positive,層4,XLM-R
ひろゆきさんのポジティブsシンキング好きです！離婚届書いちゃって！さっさと別れればいいんじゃないですか？^_^,Positive,Negative,Positive,層4,XLM-R
事務所の力,Negative,Neutral,Positive,層4,XLM-R
さすが村長:double_exclamation_mark::penguin:,Positive,Neutral,Positive,層4,XLM-R
毎月がんばれ,Positive,Positive,Positive,層4,XLM-R
阿部君は売れとるやん,Neutral,Positive,Positive,層4,XLM-R
こんばんは(^-^*)/:heart_suit:,Positive,Neutral,Positive,層4,XLM-R
王子♡,Positive,Positive,Positive,層4,XLM-R
くぴぽー！,Positive,Positive,Positive,層4,XLM-R
こうへい,Neutral,Neutral,Positive,層4,XLM-R
丸川珠代さんとかね。,Neutral,Neutral,Neutral,層4,XLM-R
親のアカウント使ってるんじゃなくて？:virtualhug:,Neutral,Neutral,Neutral,層4,XLM-R
ショックアブソーバー,Neutral,Neutral,Neutral,層4,XLM-R
泉さんとの対談の本に書いてありましたね。,Neutral,Neutral,Neutral,層4,XLM-R
ぱかだよ？,Negative,Neutral,Neutral,層4,XLM-R
ホリエモンが秘書になるの？,Neutral,Neutral,Neutral,層4,XLM-R
:bird:ことり,Neutral,Neutral,Neutral,層4,XLM-R
学校は社会に出るための訓練の場所だろ？そう思えばどうと言うことは無い,Neutral,Negative,Neutral,層4,XLM-R
タイトル回収です,Neutral,Neutral,Neutral,層4,XLM-R
京都混んでそ〜,Neutral,Negative,Negative,層4,XLM-R
ホリエモンの手下が議員になったぞ,Neutral,Negative,Negative,層4,XLM-R
先生の偏差値低いんかな,Negative,Neutral,Negative,層4,XLM-R
あの方は、社会知らんだろ？,Negative,Neutral,Negative,層4,XLM-R
コーンロウは清潔じゃねーよw,Negative,Negative,Negative,層4,XLM-R
こわ,Negative,Negative,Negative,層4,XLM-R
こわ,Negative,Negative,Negative,層4,XLM-R
何故ネイティブ？？,Neutral,Neutral,Negative,層4,XLM-R
生保はなかなか,Negative,Neutral,Negative,層4,XLM-R
子供少ないのか、意外,Neutral,Neutral,Negative,層4,XLM-R
いつも、片足上げてる。カッコいいです:smiling_face_with_smiling_eyes:,Positive,Positive,Positive,層5,XLM-R
メイちゃんみたいな髪型だね！,Positive,Positive,Positive,層5,XLM-R
いつもよりイケボ！！,Positive,Positive,Positive,層5,XLM-R
相棒めっちゃいいよ,Positive,Positive,Positive,層5,XLM-R
鰻屋に未来はある！美味しかったら！,Positive,Positive,Positive,層5,XLM-R
やぁやぁ、今日も可愛いねぇ:smiling_face_with_heart_eyes::two_hearts:,Positive,Positive,Positive,層5,XLM-R
阿部寛さんは頭もいいよ。,Positive,Positive,Positive,層5,XLM-R
今夜は温かいお風呂にはいるんだよ♡,Positive,Positive,Positive,層5,XLM-R
au200xさん、わざわざスパチャでありがとうございます…:double_exclamation_mark:︎丁度使ってないスマホが一台あるのでそれでやります。,Positive,Neutral,Positive,層5,XLM-R
ハリウッドも？,Neutral,Neutral,Neutral,層5,XLM-R
FMRIは,Neutral,Neutral,Neutral,層5,XLM-R
脳神経の機能不全は、今、計測できます,Neutral,Neutral,Neutral,層5,XLM-R
一応エサで:penguin:誘導避難させてたよね,Neutral,Neutral,Neutral,層5,XLM-R
キムタクは？,Neutral,Neutral,Neutral,層5,XLM-R
キムタクは？,Neutral,Neutral,Neutral,層5,XLM-R
タイ米を輸入した時がありましたね,Neutral,Neutral,Neutral,層5,XLM-R
東大は？,Neutral,Neutral,Neutral,層5,XLM-R
タオル巻いてる人は～？,Neutral,Neutral,Neutral,層5,XLM-R
モールス信号,Neutral,Neutral,Neutral,層5,XLM-R
戦争はマジでやめてほしい、死ぬ自信しかない,Negative,Negative,Negative,層5,XLM-R
学部から恨まれるぞ,Neutral,Negative,Negative,層5,XLM-R
日本は自民党政権だと進まないだろうなぁ,Neutral,Negative,Negative,層5,XLM-R
嫌すぎる,Negative,Negative,Negative,層5,XLM-R
いい歳したオジサンがみっともないと思う。,Negative,Negative,Negative,層5,XLM-R
うつのひとにいったらあかんやつ,Negative,Negative,Negative,層5,XLM-R
堀江もん、年取ったね～、ジジむさくなった残念!,Negative,Negative,Negative,層5,XLM-R
マジで立花さんとは関わりたくない,Negative,Negative,Negative,層5,XLM-R
もう古いよ！その考え,Negative,Negative,Negative,層5,XLM-R
